source_county_fips_code,target_county_fips_code,flow
06075,06013,0.004895553205838
06075,06041,0.0082460812381135
06075,06081,0.0580044554767515
06077,06001,0.0373789435949836
06077,06005,0.00099075017571
06077,06009,0.0007127191434951
06077,06013,0.0082717760396526
06077,06067,0.011831137782018
06077,06095,0.0014833026134917
06077,06099,0.0169415457396331
06079,06029,0.0028642000311012
06079,06031,0.0006581873808844
06079,06053,0.0056669210211307
06079,06083,0.0305116864424249
06081,06001,0.0165920737888507
06081,06013,0.0025589964887256
06081,06041,0.0013409355295827
06081,06075,0.1094425100603554
06081,06085,0.0787145182982941
06081,06087,0.0006344067495536
06083,06029,0.0002454973041184
06083,06079,0.0177354594470575
06083,06111,0.0056923253412871
06085,06001,0.0202944197705858
06085,06047,9.90285036151e-05
06085,06069,0.0007135405152373
06085,06081,0.0245258809655975
06085,06087,0.0022744438478944
06085,06099,0.0002248214676667
06087,06001,0.0032011527120671
06087,06053,0.0244468541804381
06087,06069,0.0025995439657157
06087,06081,0.004612333722027
06087,06085,0.0648326265049503
06089,06035,0.0009612053067474
06089,06049,0.0003017737590951
06089,06063,0.0004191302209655
06089,06093,0.002006236657688
06089,06103,0.0096847023057751
06089,06105,0.0019894714488493
06091,06035,0.0102615028136379
06091,06057,0.0506454816285998
06091,06061,0.0036411784177425
06091,06063,0.0148957298907646
06093,06015,0.0002050347419979
06093,06023,0.0010251737099897
06093,06049,0.0006151042259938
06093,06089,0.0057865360519421
06093,06105,0.0003189429319968
06095,06001,0.0242276625179388
06095,06013,0.0458105991032359
06095,06041,0.0123827665336474
06095,06055,0.0278330393444086
06095,06067,0.0124179982290201
06095,06077,0.0012636434740331
06095,06097,0.0065296075424013
06095,06113,0.011880127679664
06097,06013,0.0023329657144935
06097,06033,0.0004201358169824
06097,06041,0.0320414156961125
06097,06045,0.0019592872234274
06097,06055,0.0089561644831723
06097,06095,0.0020380626891116
06099,06001,0.0135749866791058
06099,06009,0.0002787432660747
06099,06043,3.03394031102e-05
06099,06047,0.0130535281881498
06099,06077,0.0381859312395353
06099,06085,0.0087965306892544
06099,06109,0.0010505018326896
06101,06007,0.0153075687423226
06101,06011,0.0072023265824645
06101,06055,0.0001889823301521
06101,06061,0.0141211796697009
06101,06067,0.0323684735477233
06101,06113,0.0182262958413388
06101,06115,0.056610706898905
06103,06007,0.0247814796047631
06103,06021,0.0104351406131239
06103,06063,0.0010292627311882
06103,06089,0.0612490499113251
06103,06105,0.0002533569799848
06105,06023,0.023704479174456
06105,06089,0.0100949674717715
06105,06093,0.0013459956629029
06105,06103,0.0021685485680102
06107,06019,0.0213552759380926
06107,06027,1.76198646354e-05
06107,06029,0.0128558937345964
06107,06031,0.0134946138276293
06109,06003,0.0002034061280719
06109,06005,9.24573309418e-05
06109,06009,0.0107620333216221
06109,06043,0.0004068122561438
06109,06099,0.0116496236986631
06111,06029,0.0006077306670885
06111,06037,0.0812230252618534
06111,06083,0.0161137824038781
06113,06011,0.0014373914721204
06113,06055,0.0014470383947521
06113,06067,0.1040613544279375
06113,06095,0.0240160138915686
06113,06101,0.0012396295581709
06115,06007,0.0117651864863761
06115,06011,0.0035268325231151
06115,06057,0.0118332720563204
06115,06061,0.0338793796042867
06115,06063,0.0010621348911312
06115,06091,0.0001089369119109
06115,06101,0.0654029984885003
